Fecha,mosquitos
March-98,213720
April-98,8548.8
May-98,94036.8
June-98,247915.2
July-98,136780.8
August-98,42744
September-98,487281.6
October-98,94036.8
November-98,418891.2
December-98,
January-99,
February-99,
March-99,137913.6
April-99,8619.6
May-99,258588
June-99,293066.4
July-99,163772.4
August-99,249968.4
September-99,284446.8
October-99,249968.4
November-99,370642.8
December-99,
January-00,
February-00,
March-00,17397.6
April-00,3924.3
May-00,17397.6
June-00,8698.8
July-00,8698.8
August-00,
September-00,60891.6
October-00,17397.6
November-00,52192.8
December-00,17397.6
January-01,1320.7
February-01,1320.7
March-01,1320.7
April-01,52696.8
May-01,70262.4
June-01,26348.4
July-01,8782.8
August-01,140524.8
September-01,131742
October-01,342529.2
November-01,140524.8
December-01,166873.2
January-02,88680
February-02,17736
March-02,1333.5
April-02,44340
May-02,230568
June-02,62076
July-02,53208
August-02,53208
September-02,35472
October-02,283776
November-02,53208
December-02,150756
January-03,4041.2
February-03,8958
March-03,8958
April-03,26874
May-03,250824
June-03,62706
July-03,107496
August-03,35832
September-03,421026
October-03,8958
November-03,26874
December-03,250824
January-04,90528
February-04,36211.2
March-04,54316.8
April-04,4084.0
May-04,4084.0
June-04,362112
July-04,153897.6
August-04,45264
September-04,72422.4
October-04,36211.2
November-04,135792
December-04,99580.8
January-05,
February-05,18300
March-05,54900
April-05,18300
